url;id;first_price;first_date;price_0;date_0;discount_0;exposition_days;unit_price_0;expected_discount;etalon_discount;effective_discount;bargaining;total_discount;price;unit_price;is_free;is_mortgage;address_full;address_region;address_district;address_city;address_street;address_number;rooms;is_isolated;square_total;square_living;square_kitchen;ratio_liv_tot;ratio_kit_tot;floor;floors;is_first;is_last;is_block;is_brick;is_panel;is_cast_in_place;year;age;is_chattels;latitude;longitude;is_nice_view;is_two-sided;finishing;is_without_renovation;is_basic_renovation;is_improved_renovation;is_design_renovation;has_loggia;has_balcony;has_balcony_or_loggia;number_of_balconies;is_view_to_street;is_view_to_courtyard;is_view_to_both;is_view_undefined;bathroom;height;has_name;is_elevators
https://www.cian.ru/sale/flat/281908698;c_281908698;4350000;2022-12-29;4350000;2023-05-16;1;138;106356.97;0.955;0.964;0.964;0.835;0.805;3501489;85610.98;0;1;Ленинградская область, Кировский район, Кировск, улица Кирова, 26;Ленинградская область;Кировский район;Кировск;улица Кирова;26;2;0;40.9;27.3;6;0.674;0.148;2;5;0;0;0;1;0;0;1968;55;1;59.872521;30.995659;1;0;1;0;1;0;0;0;1;1;1;0;0;1;0;1;2.6;0;0
https://www.cian.ru/sale/flat/279132088;c_279132088;4400000;2023-04-26;4400000;2023-05-16;1;20;162962.96;0.985;0.964;0.964;0.835;0.805;3541736;131175.41;1;0;Ленинградская область, Кировский район, Кировск, Набережная улица, 19;Ленинградская область;Кировский район;Кировск;Набережная улица;19;0;1;27;14;5;0.346;0.123;13;17;0;0;0;0;0;1;2015;8;1;59.877931;30.98284;1;0;1;0;1;0;0;0;1;1;1;0;0;1;0;0.5;2.7;1;2
https://www.cian.ru/sale/flat/283448862;c_283448862;4730000;2023-02-08;4580000;2023-05-16;0.968;97;75081.97;0.961;0.964;0.964;0.835;0.805;3686625.2;60436.48;0;1;Ленинградская область, Кировский район, Кировск, улица Победы, 3;Ленинградская область;Кировский район;Кировск;улица Победы;3;2;1;61;37;12.3;0.914;0.304;4;4;0;1;0;1;0;0;1933;90;0;59.874097;30.984179;0;1;1;0;1;0;0;0;1;1;1;0;0;1;0;0.5;3.15;0;0
https://www.cian.ru/sale/flat/283947608;c_283947608;4900000;2023-02-20;4600000;2023-05-16;0.939;85;138972.81;0.963;0.964;0.939;0.835;0.784;3606699;108963.72;1;0;Ленинградская область, Кировский район, Кировск, Набережная улица, 19;Ленинградская область;Кировский район;Кировск;Набережная улица;19;1;1;33.1;16.5;8.2;0.407;0.202;17;17;0;1;0;0;0;1;2015;8;1;59.877931;30.98284;1;0;1;0;1;0;0;0;1;1;1;1;0;0;0;0.5;2.75;1;2
https://www.cian.ru/sale/flat/286398931;c_286398931;5100000;2023-04-18;4990000;2023-05-16;0.978;28;115509.26;0.98;0.964;0.964;0.835;0.805;4016650.6;92978.02;1;1;Ленинградская область, Кировский район, Кировск, Ладожская улица, 20;Ленинградская область;Кировский район;Кировск;Ладожская улица;20;2;1;43.2;26.5;6.1;0.654;0.151;8;9;0;0;0;0;1;0;1984;39;0;59.886343;31.001193;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;1;2.6;0;1
https://www.cian.ru/sale/flat/285745444;c_285745444;5000000;2023-05-01;5000000;2023-05-16;1;15;97087.38;0.989;0.964;0.964;0.835;0.805;4024700;78149.51;0;1;Ленинградская область, Кировский район, Кировск, Северная улица, 3;Ленинградская область;Кировский район;Кировск;Северная улица;3;2;1;51.5;30;6.8;0.741;0.168;8;9;0;0;0;0;1;0;1977;46;0;59.889164;30.994285;0;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;2.6;0;1
https://www.cian.ru/sale/flat/262148973;c_262148973;5730000;2021-08-12;5150000;2023-05-16;0.899;642;85690.52;0.932;0.964;0.899;0.835;0.751;3865924.75;64324.87;0;1;Ленинградская область, Кировский район, Кировск, улица Победы, 7;Ленинградская область;Кировский район;Кировск;улица Победы;7;3;1;60.1;40.8;9.3;1.007;0.23;1;4;1;0;1;0;0;0;1933;90;1;59.873568;30.986946;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;3.15;0;0
https://www.cian.ru/sale/flat/274206610;c_274206610;5900000;2022-01-06;5300000;2023-05-16;0.898;495;87748.34;0.936;0.964;0.898;0.835;0.75;3974099;65796.34;1;1;Ленинградская область, Кировский район, Кировск, Набережная улица, 11;Ленинградская область;Кировский район;Кировск;Набережная улица;11;3;1;60.4;40.7;6;1.005;0.148;4;5;0;0;0;1;0;0;1979;44;0;59.883647;30.986622;0;0;1;0;1;0;0;1;0;1;1;0;0;1;0;1;2.6;0;0
https://www.cian.ru/sale/flat/279334039;c_279334039;6500000;2022-10-20;5600000;2023-05-16;0.862;208;70528.97;0.949;0.964;0.862;0.835;0.72;4030712;50764.63;1;1;Ленинградская область, Кировский район, Кировск, Железнодорожная улица, 2;Ленинградская область;Кировский район;Кировск;Железнодорожная улица;2;4;1;79.4;52.3;7.3;1.291;0.18;4;4;0;1;0;0;1;0;1984;39;0;59.866517;30.98514;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;2.55;0;0
https://www.cian.ru/sale/flat/273644619;c_273644619;7200000;2022-05-18;5600000;2023-05-16;0.778;363;98245.61;0.94;0.964;0.778;0.835;0.65;3637928;63823.3;0;1;Ленинградская область, Кировский район, Кировск, Ладожская улица, 10;Ленинградская область;Кировский район;Кировск;Ладожская улица;10;2;1;57;31.1;14;0.768;0.346;1;5;1;0;0;0;1;0;1992;31;1;59.882568;30.995902;0;0;1;0;1;0;0;1;0;1;2;0;1;0;0;1;2.6;0;0
