,id,latitude,longitude,unit_price,is_isolated,is_first,is_chattels,is_nice_view,is_view_to_both,rooms,walls_type,finishing_type,is_elevators,epoch,square_PC_1
91,c_263224801,59.879936,30.999962,60392.16,1,0,0,0,1,5,3.0,2.0,1,2,-4.672
92,c_282982280,59.877931,30.98284,107845.93,1,0,0,1,1,3,4.0,2.0,1,3,-1.209
93,c_284332241,59.880252,30.985634,128544.0,1,0,1,0,1,4,3.0,4.0,1,3,-0.385
94,c_279156080,59.877452,31.005101,102816.0,1,0,0,0,0,0,2.0,2.0,2,3,-0.502
95,c_283520699,59.874363,30.982858,71723.68,1,1,0,0,0,2,1.0,2.0,0,1,0.179
96,c_274503825,59.877931,30.98284,106932.52,1,0,0,1,0,1,4.0,2.0,1,3,2.557
97,c_284152024,59.88674,30.995659,81744.97,1,0,0,0,0,1,2.0,2.0,0,2,2.764
98,c_281800634,59.880252,30.985634,103036.21,1,0,1,0,1,1,3.0,2.0,1,3,1.184
99,c_276833136,59.872006,30.990692,85669.72,0,0,0,0,1,2,3.0,2.0,0,2,-1.517
100,c_280038284,59.877931,30.98284,121185.19,1,0,1,1,0,1,4.0,2.0,2,3,1.912
101,c_279458247,59.877931,30.98284,113540.79,1,0,0,0,0,1,4.0,2.0,2,3,1.958
102,c_279828397,59.880618,30.993422,75123.68,1,0,0,0,1,2,2.0,1.0,0,2,-0.384
103,c_282153126,59.885598,30.993539,103534.88,1,0,1,0,0,2,1.0,2.0,1,2,0.151
104,c_276524841,59.8743,30.997177,97417.94,1,0,0,0,1,2,3.0,2.0,0,2,0.181
105,c_279965073,59.873817,30.985508,88410.1,1,0,1,0,1,2,1.0,3.0,0,1,-0.267
106,c_274729822,59.876183,30.991895,80606.88,1,0,1,0,1,3,3.0,2.0,0,2,-1.717
107,c_276290965,59.872823,30.996854,101876.18,0,0,1,0,0,2,3.0,3.0,0,2,-0.554
108,c_278766266,59.884975,30.992156,122763.59,1,0,1,0,0,1,2.0,3.0,1,3,0.583
109,c_285696556,59.878911,30.998525,85584.91,1,0,1,0,1,2,2.0,2.0,0,2,0.096
110,c_278200940,59.887584,31.000043,84728.62,1,0,0,0,1,2,2.0,2.0,0,2,0.14
111,c_285929683,59.885002,30.988527,95424.0,1,0,1,1,0,2,2.0,2.0,1,2,-0.136
112,c_276461549,59.878468,31.004885,110333.72,1,1,1,0,1,1,4.0,3.0,2,3,3.476
113,c_251445946,59.874097,30.984179,106442.31,1,1,0,0,1,2,1.0,2.0,0,1,0.087
114,c_248283422,59.877931,30.98284,110923.08,1,0,1,1,0,3,4.0,2.0,2,3,-1.305
115,c_283478650,59.878518,31.006223,106988.76,1,0,1,0,1,3,4.0,2.0,1,3,-4.535
116,c_286296366,59.877181,30.99318,90094.64,1,0,0,0,0,1,3.0,2.0,0,2,1.279
117,c_287074608,59.880252,30.985634,143317.54,1,0,1,1,0,0,3.0,2.0,2,3,0.842
118,c_286854424,59.877931,30.98284,126845.6,1,0,1,0,0,1,4.0,2.0,2,3,4.186
119,c_287169986,59.885638,30.990359,105000.0,1,0,0,1,0,1,4.0,1.0,2,3,1.892
